Bible range,Mishnah range,Mishneh Torah unit,Shulchan Aruch simanim
"Prayer/Shema/Tefillin: Deut 6:4-9; Deut 11:13-21; Num 15:37-41; Ex 13:9-10","Berakhot 1-9","Sefer Ahavah: Hilkhot Kri'at Shema; Tefillah u-Virkat Kohanim; Tefillin uMezuzah veSefer Torah; Tzitzit; Berakhot","Orach Chayim 1-231"
"Shabbat: Ex 20:8-11; Ex 31:12-17; Ex 35:1-3; Deut 5:12-15","Shabbat 1-24","Sefer Zemanim: Hilkhot Shabbat","Orach Chayim 242-397"
"Eruvin/Boundary-Carrying Framework: Ex 16:29","Eruvin 1-10","Sefer Zemanim: Hilkhot Eruvin","Orach Chayim 345-372; 393-416"
"Pesach: Ex 12:1-51; Ex 13:1-16; Num 9:1-14; Deut 16:1-8","Pesachim 1-10","Sefer Zemanim: Hilkhot Chametz u-Matzah; Hilkhot Korban Pesach","Orach Chayim 429-494"
"Yom Tov (general): Lev 23:1-44; Num 28:16-31; Num 29:12-38; Deut 16:9-17","Beitzah 1-5","Sefer Zemanim: Hilkhot Yom Tov","Orach Chayim 495-529"
"Rosh Hashanah: Lev 23:23-25; Num 29:1-6","Rosh Hashanah 1-4","Sefer Zemanim: Hilkhot Shofar, Sukkah veLulav (shofar sections)","Orach Chayim 581-597"
"Yom Kippur: Lev 16:1-34; Lev 23:26-32; Num 29:7-11","Yoma 1-8","Sefer Zemanim: Hilkhot Shevitat Asor","Orach Chayim 604-624"
"Sukkot: Lev 23:33-43; Num 29:12-38; Deut 16:13-15","Sukkah 1-5","Sefer Zemanim: Hilkhot Shofar, Sukkah veLulav (sukkah/lulav sections)","Orach Chayim 625-669"
"Public Fasts: Num 10:9 (fast/cry framework); Joel 2:15","Taanit 1-4","Sefer Zemanim: Hilkhot Ta'aniyot","Orach Chayim 549-580"
"Purim/Megillah: Esther 9:20-32","Megillah 1-4","Sefer Zemanim: Hilkhot Megillah veChanukah","Orach Chayim 685-697"
"Chol HaMoed: Deut 16:8; Lev 23 festival structures","Moed Katan 1-3","Sefer Zemanim: Hilkhot Yom Tov (chol hamoed sections)","Orach Chayim 530-548"
